views,views_adjusted,share,bin,timestamp,timestamp_index,count
33213,36139,0.0000478287199751441,1,20150703,2,3
36226,35099,0.00004651037082473691,2,20150706,5,3
33328,34891,0.000046179870401226286,3,20150709,8,3
34380,33534,0.00004436601424403794,4,20150712,11,3
32242,33248,0.00004395141258445521,5,20150715,14,3
31394,32457,0.00004285906115693417,6,20150718,17,3
37708,37912,0.00005015928913108276,7,20150721,20,3
28299,29427,0.00003896102844757273,8,20150724,23,3
28140,27203,0.00003600543216795632,9,20150727,26,3
26366,27944,0.000037071823253515,10,20150730,29,3
29745,31226,0.000041425115499788475,11,20150802,32,3
32640,33226,0.0000439893588339359,12,20150805,35,3
32859,34157,0.000045196785330192226,13,20150808,38,3
33843,34096,0.000045106486714900145,14,20150811,41,3
38466,40332,0.00005331978776556525,15,20150814,44,3
32392,31758,0.00004205167145086217,16,20150817,47,3
29822,31267,0.000041263294167352425,17,20150820,50,3
35728,34928,0.00004623859768935162,18,20150823,53,3
36372,37120,0.00004912497018020307,19,20150826,56,3
40008,40526,0.00005383634159882698,20,20150829,59,3
35487,34880,0.00004618022062540217,21,20150901,62,3
80588,81882,0.00010768830819974749,22,20150904,65,3
40873,36701,0.00004862364956313228,23,20150907,68,3
37981,37648,0.00004985002238631011,24,20150910,71,3
36727,34326,0.0000454242217504462,25,20150913,74,3
36041,36980,0.00004888624125000745,26,20150916,77,3
36118,36729,0.00004821131084551947,27,20150919,80,3
36808,36585,0.000048448453671278056,28,20150922,83,3
40242,42814,0.00005674859848398662,29,20150925,86,3
36352,35475,0.00004705146260193734,30,20150928,89,3
30182,32867,0.000043462015877880253,31,20151001,92,3
30246,29861,0.00003945375868038455,32,20151004,95,3
32130,32170,0.000042561156384579,33,20151007,98,3
30742,31542,0.00004164416111459726,34,20151010,101,3
31870,30807,0.00004074090210594261,35,20151013,104,3
33617,35556,0.000047037874144315456,36,20151016,107,3
43530,41545,0.00005478013765233026,37,20151019,110,3
49344,50380,0.00006691471870440346,38,20151022,113,3
39442,38275,0.000050598387704094556,39,20151025,116,3
31958,31947,0.000042330800473767995,40,20151028,119,3
32957,33717,0.00004455761378012529,41,20151031,122,3
33770,32883,0.00004353268886493994,42,20151103,125,3
34570,35930,0.000047478735030641206,43,20151106,128,3
31461,30369,0.00004019758059551663,44,20151109,131,3
30184,31708,0.000041980484838104785,45,20151112,134,3
30436,29554,0.000039091152437407975,46,20151115,137,3
29834,29923,0.0000395633539269029,47,20151118,140,3
33010,33654,0.00004446109138103601,48,20151121,143,3
33357,34080,0.00004510944102546291,49,20151124,146,3
32646,34063,0.00004507966534218534,50,20151127,149,3
32388,31149,0.000041243916312227664,51,20151130,152,3
34948,36756,0.000048520153033962126,52,20151203,155,3
34668,33292,0.00004402027148993265,53,20151206,158,3
31471,31290,0.00004143040064986501,54,20151209,161,3
33301,33528,0.000044380748772786205,55,20151212,164,3
30363,31095,0.00004116255070803817,56,20151215,167,3
28524,32264,0.00004266912144657405,57,20151218,170,3
27750,30004,0.00003970067067737864,58,20151221,173,3
27495,32778,0.00004333893775127097,59,20151224,176,3
31247,32245,0.00004266391205828864,60,20151227,179,3
31864,34217,0.000045239130274597,61,20151230,182,3
33525,31933,0.00004224584427535353,62,20160102,185,3
32361,31078,0.00004113086902491258,63,20160105,188,3
52274,51715,0.00006823182757121462,64,20160108,191,3
37879,34323,0.00004542750731714289,65,20160111,194,3
37397,37133,0.00004907016125188212,66,20160114,197,3
37671,34857,0.00004609644395137528,67,20160117,200,3
35677,34235,0.000045286565745285586,68,20160120,203,3
40883,38675,0.00005107866590565705,69,20160123,206,3
38427,36232,0.00004791804122769157,70,20160126,209,3
48816,47984,0.00006339969569029218,71,20160129,212,3
43313,39897,0.00005282537840798118,72,20160201,215,3
67108,68194,0.00008885585934057619,73,20160204,218,3
432737,398678,0.0005366039286383451,74,20160207,221,3
162599,159893,0.00021267606478646669,75,20160210,224,3
121565,119384,0.00015763191150287097,76,20160213,227,3
103054,96358,0.0001281900822950375,77,20160216,230,3
80740,80361,0.00010623327392528488,78,20160219,233,3
68642,63913,0.00008462152673287685,79,20160222,236,3
55094,56159,0.00007437090032841743,80,20160225,239,3
49807,46101,0.00006079597609271325,81,20160228,242,3
46758,45456,0.00006013033638136749,82,20160302,245,3
46915,45885,0.00006062996546283771,83,20160305,248,3
44252,43644,0.00005776475766626165,84,20160308,251,3
43252,45698,0.00006046407857847458,85,20160311,254,3
42661,42247,0.00005591283256899994,86,20160314,257,3
40279,43557,0.000057532354568466036,87,20160317,260,3
44566,45927,0.00006076796737096949,88,20160320,263,3
39928,42938,0.0000568342259204407,89,20160323,266,3
41404,42935,0.00005664385741308986,90,20160326,269,3
43335,44095,0.000058257141132733783,91,20160329,272,3
49379,53077,0.00007008044242460703,92,20160401,275,3
46913,45798,0.00006063264180921961,93,20160404,278,3
42560,44600,0.00005896865896553069,94,20160407,281,3
43279,42470,0.00005620218192326183,95,20160410,284,3
47565,48526,0.00006420457372730863,96,20160413,287,3
53043,55655,0.00007347431372940213,97,20160416,290,3
44581,44134,0.00005840402818822256,98,20160419,293,3
213102,214871,0.00029073920049483973,99,20160422,296,3
403023,394651,0.0005241946582984932,100,20160425,299,3
198276,209937,0.0002792109092679932,101,20160428,302,3
135583,135657,0.0001791311739722958,102,20160501,305,3
108186,112208,0.00014877403953655042,103,20160504,308,3
92970,97256,0.0001280556896384621,104,20160507,311,3
76695,77354,0.00010249938909989889,105,20160510,314,3
81663,87279,0.0001155510016040284,106,20160513,317,3
78072,76700,0.00010156144899943254,107,20160516,320,3
76236,80156,0.00010604788562813155,108,20160519,323,3
74282,73938,0.00009783007411584922,109,20160522,326,3
67945,71829,0.00009522888379600885,110,20160525,329,3
58678,62867,0.00008286738213330829,111,20160528,332,3
54664,55586,0.00007353708882571649,112,20160531,335,3
55485,59140,0.00007821647524091838,113,20160603,338,3
57709,58723,0.00007763693923298823,114,20160606,341,3
58018,62755,0.00008306572919364482,115,20160609,344,3
48094,48079,0.00006352804737533794,116,20160612,347,3
48617,51329,0.0000677735685979263,117,20160615,350,3
48561,51445,0.00006773110697251947,118,20160618,353,3
49092,51004,0.0000674955090986124,119,20160621,356,3
50507,54645,0.00007228979487512,120,20160624,359,3
67320,68132,0.00009036142843877614,121,20160627,362,3
53363,57086,0.00007552030312394547,122,20160630,365,3
55838,57222,0.00007569106253223407,123,20160703,368,3
51909,54992,0.0000724304211368738,124,20160706,371,3
58286,61312,0.00008042374890538271,125,20160709,374,3
45247,47529,0.00006293506250868222,126,20160712,377,3
45842,50885,0.00006735377923844865,127,20160715,380,3
45076,45691,0.00006041907831344778,128,20160718,383,3
45234,42979,0.00005684845075850197,129,20160721,386,3
46494,40591,0.00005368459279171197,130,20160724,389,3
46532,42039,0.00005569172832620795,131,20160727,392,3
44547,40181,0.000053114133944321583,132,20160730,395,3
42078,38877,0.000051341142517390435,133,20160802,398,3
41647,39619,0.00005239761375175077,134,20160805,401,3
38997,34029,0.00004507465832271636,135,20160808,404,3
35555,32777,0.000043387464178770206,136,20160811,407,3
34693,30683,0.00004060285372931898,137,20160814,410,3
35104,36683,0.00004850665879428356,138,20160817,413,3
36835,36821,0.000048551154210470765,139,20160820,416,3
37599,37268,0.0000493035674080789,140,20160823,419,3
49359,51316,0.00006805364393042711,141,20160826,422,3
193657,182168,0.00024383407588292918,142,20160829,425,3
86169,90807,0.00011984993184580887,143,20160901,428,3
225207,223614,0.00029300261215288844,144,20160904,431,3
63010,64235,0.00008515302252214333,145,20160907,434,3
60895,60769,0.00008036718460738103,146,20160910,437,3
49903,48450,0.00006414340614178275,147,20160913,440,3
50377,52481,0.00006957834790539361,148,20160916,443,3
51321,49065,0.0000649764434406255,149,20160919,446,3
47659,48879,0.0000645588163679675,150,20160922,449,3
44921,44155,0.00005836339779361723,151,20160925,452,3
44766,45642,0.00006022916993309949,152,20160928,455,3
50924,51373,0.00006808936691702255,153,20161001,458,3
51826,49790,0.00006591697916605006,154,20161004,461,3
53795,55881,0.000073803261558405,155,20161007,464,3
47586,46018,0.00006092861867769072,156,20161010,467,3
45517,46062,0.00006084761786428685,157,20161013,470,3
55012,51782,0.00006849503819425744,158,20161016,473,3
57254,56322,0.00007486634345922705,159,20161019,476,3
63810,63395,0.00008383454340414584,160,20161022,479,3
46260,45204,0.000059914973270409886,161,20161025,482,3
41347,43866,0.000057969686832391105,162,20161028,485,3
42867,41041,0.00005429832436488212,163,20161031,488,3
126664,124566,0.00016393785711513195,164,20161103,491,3
106301,98151,0.00012957996883673732,165,20161106,494,3
50964,47202,0.00006264370560897597,166,20161109,497,3
44820,41271,0.00005436783548196911,167,20161112,500,3
