link,name,year_of_birth,year_of_death,date_of_death,timestamp_of_death,median_views_adjusted_bd_1,median_views_adjusted_ad_1,mean_views_adjusted_bd_1,death_views_1,death_views_adjusted_1,std_1,iqr_1,median_views_adjusted_bd_2,median_views_adjusted_ad_2,mean_views_adjusted_bd_2,death_views_2,death_views_adjusted_2,std_2,iqr_2,median_views_adjusted_bd_3,median_views_adjusted_ad_3,mean_views_adjusted_bd_3,death_views_3,death_views_adjusted_3,std_3,iqr_3,median_views_adjusted_bd_7,median_views_adjusted_ad_7,mean_views_adjusted_bd_7,death_views_7,death_views_adjusted_7,std_7,iqr_7,pageid,description,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract,industry,cause,sudden,last_updated
/wiki/Roddy_Piper,Roddy Piper,1954,2015,July 31,20150731,1804,2335.5,1920.5,234746,248819,406.44718804128377,569,3735,4722,3841,1228357,1351926,619.0549787108304,936,5862.5,7148,5761.5,1416289,1549376,783.0503495944562,1401,13070,16725,13686,1828900,1975446,1342.699705816606,1975,405184,Canadian professional wrestler and actor,Roddy_Piper,Roddy Piper,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Roddy_Piper_%282014-04-04_19-10-01_NEX-6_7421_DxO_%2813933727033%29%29.jpg/180px-Roddy_Piper_%282014-04-04_19-10-01_NEX-6_7421_DxO_%2813933727033%29%29.jpg,180,320,"Roderick George Toombs, better known by his ring name ""Rowdy"" Roddy Piper, was a Canadian professional wrestler and actor.",sports,heart failure,false,20180717
/wiki/Wes_Craven,Wes Craven,1939,2015,August 30,20150830,1269,1484,1324.2833333333333,1283,1303,225.4730650333994,216.5,2600,2956,2648.5666666666666,636487,605211,361.74306566340084,297,3871.5,4477.5,3972.85,772369,740484,456.58978032803145,421,9125.5,10350,9174.375,924980,892907,568.7886113267389,715.5,153147,American director,Wes_Craven,Wes Craven,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Wes_Craven_2010.jpg/219px-Wes_Craven_2010.jpg,219,320,"Wesley Earl ""Wes"" Craven was an American film director, writer, producer, and actor. He was known for his pioneering work in the genre of horror films, particularly slasher films, where his impact on the genre was considered prolific and influential. Due to the success and cultural impact of his works in the horror film genre, Craven has been called a ""Master of Horror"".",film/tv,cancer,false,20180717
/wiki/Yogi_Berra,Yogi Berra,1925,2015,September 22,20150922,1430,1136,1568.012048192771,1196,1173,645.7977133761228,343,2903,2303.5,3140.8536585365855,542689,537161,991.9569857161172,638,4377,3487.5,4720.740740740741,782586,780006,1354.9034567928009,925,10409,8186.5,11107,935505,940171,2349.0014512941066,4603,43088,"American baseball player, manager, coach",Yogi_Berra,Yogi Berra,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/1953_Bowman_Yogi_Berra.jpg/212px-1953_Bowman_Yogi_Berra.jpg,212,320,"Lawrence Peter ""Yogi"" Berra was an American professional baseball catcher, who later took on the roles of manager and coach. He played 19 seasons in Major League Baseball (MLB), all but the last for the New York Yankees. He was an 18-time All-Star and won 10 World Series championships as a player—more than any other player in MLB history. Berra had a career batting average of.285, while hitting 358 home runs and 1,430 runs batted in. He is one of only five players to win the American League Most Valuable Player Award three times. He is widely regarded as one of the greatest catchers in baseball history, and was elected to the Baseball Hall of Fame in 1972.",sports,natural causes,false,20180717
/wiki/Maureen_O%27Hara,Maureen O'Hara,1920,2015,October 24,20151024,1792,1808,2467.5391304347827,231144,252092,2277.0226413758764,897,3562,3815.5,4945.684210526316,487235,508265,3870.9074150729152,1639,5617.5,5918,7418.526315789473,587825,603953,4811.478122468363,2656,14069,14237,17411.375,704749,718816,11309.21290848196,4724,235309,Irish-American film actress and singer,Maureen_O'Hara,Maureen O'Hara,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Maureen_O%27Hara_in_The_Quiet_Man_%281952%29.png/275px-Maureen_O%27Hara_in_The_Quiet_Man_%281952%29.png,275,320,"Maureen O'Hara was an Irish-American actress and singer. O'Hara was a famous redhead who was known for playing fiercely passionate but sensible heroines, often in westerns and adventure films. On numerous occasions, she worked with director John Ford and longtime friend John Wayne. O'Hara was one of the last surviving stars from the Golden Age of Hollywood.",film/tv,natural causes,false,20180717
/wiki/Jonah_Lomu,Jonah Lomu,1975,2015,November 18,20151118,1280.5,828.5,2661.2642857142855,569354,555122,3629.497914136952,2366,2708,1693,5322.528571428571,698253,682872,6658.568288242125,5283,4008,2604,8074.782608695652,752854,739735,8866.301571762415,10089,8907,6250,18628.85,829712,818744,17659.253374010466,28476,264230,New Zealand rugby union player,Jonah_Lomu,Jonah Lomu,https://upload.wikimedia.org/wikipedia/commons/c/c6/Jonah_Lomu_%28cropped%29.jpg,200,300,"Jonah Tali Lomu was a New Zealand rugby union player. He became the youngest ever All Black when he played his first international in 1994 at the age of 19 years and 45 days. Playing on the wing Lomu finished his international career with 63 caps and 37 tries. He is regarded as the first true global superstar of rugby and consequently had a huge impact on the game. Lomu was inducted into the International Rugby Hall of Fame on 9 October 2007, and the IRB Hall of Fame on 24 October 2011.",sports,heart failure,false,20180717
/wiki/Scott_Weiland,Scott Weiland,1967,2015,December 3,20151203,1278,2313,1367.0129032258064,1210,1217,412.3731630937668,177,2563,4659,2735.6493506493507,879338,910575,770.1355887744579,386,3885,6958.5,4104.117647058823,1183689,1248244,1079.7472951822047,511,9171.5,16233,9574.772727272728,1681078,1725983,1793.5251964121635,1173,367133,American musician,Scott_Weiland,Scott Weiland,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Scott_Weiland_%28Stone_Temple_Pilots%29_Open_Air_St._Gallen_%28rotated%29.jpg/233px-Scott_Weiland_%28Stone_Temple_Pilots%29_Open_Air_St._Gallen_%28rotated%29.jpg,233,320,"Scott Richard Weiland was an American musician, singer and songwriter. During a career spanning three decades, Weiland was best known as the lead singer of the band Stone Temple Pilots from 1989 to 2002 and 2008 to 2013. He was also a member of supergroup Velvet Revolver from 2003 to 2008 and recorded one album with another supergroup, Art of Anarchy. He also established himself as a solo artist, releasing three studio albums, two cover albums, and collaborations with several other musicians throughout his career.",music,drug overdose,false,20180717
/wiki/Natalie_Cole,Natalie Cole,1950,2015,December 31,20151231,718,1671,818.2732240437158,785,874,394.33038170902563,189,1433,3378.5,1638.0549450549452,610656,656360,681.379956656115,359,2146,5054,2454.8196721311474,1026404,1060600,980.0785433262057,491,5046.5,12175,5733.192307692308,1295377,1315386,1943.103802192429,983,423882,American singer and songwriter,Natalie_Cole,Natalie Cole,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Natalie_Cole_2007.jpg/247px-Natalie_Cole_2007.jpg,247,320,"Natalie Maria Cole was an American singer, voice actress, songwriter, and actress. The daughter of the great American singer Nat King Cole, she rose to musical success in the mid-1970s as an R&B artist with the hits ""This Will Be"", ""Inseparable"" (1975), and ""Our Love"" (1977). Cole re-emerged as a pop artist with the 1987 album Everlasting and her cover of Bruce Springsteen's ""Pink Cadillac"". In the 1990s, she re-recorded standards by her father, resulting in her biggest success, Unforgettable... with Love, which sold over seven million copies and also won Cole seven Grammy Awards. She sold over 30 million records worldwide. On December 31, 2015, Cole died at the age of 65 at Cedars-Sinai Medical Center in Los Angeles, California, due to congestive heart failure.",music,heart failure,false,20180717
/wiki/David_Bowie,David Bowie,1947,2016,January 10,20160110,9605,11267,11411.772020725388,37386,35165,8299.71756369725,2586,19407,22371,22865.34375,6985568,5927735,16258.489889149789,4703.5,28447.5,33692,34298.015625,9701001,8439166,22877.259857287998,7375.5,73535,78900,80329.18518518518,12006245,10673477,44916.25715009115,13394,8786,"British musician, actor, record producer and arranger",David_Bowie,David Bowie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/David-Bowie_Chicago_2002-08-08_photoby_Adam-Bielawski-cropped.jpg/274px-David-Bowie_Chicago_2002-08-08_photoby_Adam-Bielawski-cropped.jpg,274,320,"David Robert Jones, known professionally as David Bowie, was an English singer, songwriter and actor who is often considered to be one of the most influential musicians of the 20th century. He was a leading figure in popular music and was acclaimed by critics and fellow musicians for his innovative work, particularly for his work during the 1970s. His career was marked by reinvention and visual presentation, with his music and stagecraft significantly influencing popular music. During his lifetime, his record sales, estimated at 140 million albums worldwide, made him one of the world's best-selling music artists. In the UK, he was awarded ten platinum album certifications, eleven gold and eight silver, releasing eleven number-one albums. In the US, he received five platinum and nine gold certifications. He was inducted into the Rock and Roll Hall of Fame in 1996.",music,cancer,false,20180717
/wiki/Alan_Rickman,Alan Rickman,1946,2016,January 14,20160114,3817,7482,4407.781725888325,3394010,3224117,1744.6228827794944,1278,7787.5,15264,8822.204081632653,4657063,4483097,3318.2625001007946,2457,11640,23118,13241.676923076922,4988744,4824755,4837.342519345458,3897,27245.5,54328,30877.714285714286,5467390,5270530,10134.920278977259,7806,39879,"English film, television and stage actor",Alan_Rickman,Alan Rickman,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Alan_Rickman_cropped_and_retouched.jpg/235px-Alan_Rickman_cropped_and_retouched.jpg,235,320,"Alan Sidney Patrick Rickman was an English actor and director known for playing a variety of roles on stage, television and film. Rickman trained at the Royal Academy of Dramatic Art in London and became a member of the Royal Shakespeare Company, performing in numerous theatre productions of both classical and modern. On stage, Rickman is most known for his role as Le Victomte de Valmont in the 1985 production of Les Liaisons Dangereuses, for which he was nominated for both a Tony Award for Best Actor in a Play and a Drama Desk Award for Outstanding Actor in a Play. Rickman was also nominated for a second Tony Award in 2002 for playing the role of Elyot Chase in Noel Coward's Private Lives. In 1996, Rickman gained critical recognition for his portrayal of the dark monk Grigori Rasputin in the television film Rasputin: Dark Servant of Destiny winning him a Golden Globe Award, a Primetime Emmy Award, a SAG Award and a Satellite Award all for best actor in a miniseries or television film. Rickman's most notable roles are through his film work. One of his most famous performances is as the Sheriff of Nottingham in the 1991 film Robin Hood: Prince of Thieves, which earned him a BAFTA Award for Best Actor in a Supporting Role. However, Rickman's most popular role is as the mysterious Professor Severus Snape in the Harry Potter film franchise.",film/tv,cancer,false,20180717
/wiki/Glenn_Frey,Glenn Frey,1948,2016,January 18,20160118,1370,3175,1497.0995024875622,387587,353375,571.6742453841815,352,2728,6450,2995.89,1447036,1321300,905.5042230161051,910,4114,9588,4491.298507462687,1665432,1528387,1176.5157135908262,1143,9594,22506,10495,1981787,1833969,2351.9180014860817,2467.5,536880,American musician,Glenn_Frey,Glenn Frey,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Glenn_Frey.jpg/320px-Glenn_Frey.jpg,320,318,"Glenn Lewis Frey was an American singer, songwriter, actor and founding member of the rock band the Eagles. Frey was the lead singer and frontman for the Eagles, roles he came to share with fellow member Don Henley, with whom he wrote most of the Eagles' material. Frey played guitar and keyboards as well as singing lead vocals on songs such as ""Take It Easy"", ""Peaceful Easy Feeling"", ""Tequila Sunrise"", ""Already Gone"", ""James Dean"", ""Lyin' Eyes"", ""New Kid in Town"", and ""Heartache Tonight"".",music,illness,false,20180717
